 ID,Ref,tw,hw,lw,lbe,fc,fyb,fyw,rouYb,rouYw,Loading,P,Vmax,Drift,loadCoeff
SW24,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,,48.3,470,420,0.033,0.025,M,0,120000,22,0
SW25,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,,45,470,420,0.033,0.025,M,325000,150000,10,0.201106083
SW26,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,,30.1,470,420,0.033,0.025,M,0,123000,22,0
SW30,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,30.1,470,420,0.033,0.015,M,0,117700,20,0
SW31,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,35.2,470,420,0.033,0.015,C,0,115800,22,0
SW31R,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,34.9,470,420,0.033,0.015,M,0,139600,24,0
SW32,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,53.6,470,420,0.033,0.015,C,0,111000,24,0
SW32R,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,38.2,470,420,0.033,0.015,C,0,82800,14,0
SW33,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,49.2,470,420,0.033,0.015,C,0,111500,25,0
SW33R,"Lefas, I. D. and Kotsovos, M. D., ""Strength and Deformation Characteristics of Reinforced Concrete Walls under Load Reversals,"" ACI Structural Journal, V. 87, No. 6, November-December 1990, pp. 716-726.",65,1375,650,,38.1,470,420,0.033,0.015,C,0,93900,17,0
B16R8-1,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,540,500,0.0268,0.0056,C,0,339000,57,0
B16R8-2,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,540,500,0.0268,0.0056,C,0,340000,35,0
B14HR8-1,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,487.5,487.5,0.0205,0.0067,C,600000,330000,33,0.098039216
B14CD8-1,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,540,540,0.0205,0.0067,C,600000,340000,36,0.098039216
B14HR8-2,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,487.5,487.5,0.0205,0.0067,C,600000,330000,36.6,0.098039216
B14CD8-2,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,540,540,0.0205,0.0067,C,600000,357000,32.7,0.098039216
HR12C-1,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,442,442,0.0151,0.0151,C,600000,525000,47.6,0.098039216
HR12C-2,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,442,442,0.0151,0.0151,C,600000,555000,43.6,0.098039216
CD12C-1,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,552,552,0.0151,0.0151,C,600000,580000,46.5,0.098039216
CD12C-2,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1200,,40,552,552,0.0151,0.0151,C,600000,575000,43.3,0.098039216
B14HR8S,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,514,500,0.0205,0.0057,C,0,400000,32.4,0
B14HR8U,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,514,500,0.0205,0.0176,C,0,405000,,0
B14CD8S,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,581,500,0.0205,0.0057,C,0,400000,31.9,0
B14CD8U,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,581,500,0.0205,0.0176,C,0,480000,50.1,0
HR12S,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,522,500,0.0139,0.0139,C,0,335000,49,0
HR12U,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,522,500,0.0139,0.0139,C,0,420000,,0
CD12S,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,632,500,0.0139,0.0139,C,0,390000,48,0
CD12U,"Riva, P., Franchi, A., ""Behavior of Reinforced Concrete Walls with Welded Wire Mesh Subjected to Cyclic Loading,"" ACI Structural Journal, V. 98, No. 3, May-June 2001, 11 pages.",150,2500,1300,,28,632,500,0.0139,0.0139,C,0,460000,49,0
SW4,"Pilakoutas, K., and Elnashai, A., ""Cyclic behavior of reinforced concrete cantilever walls, Part I: Experimental results."" ACI Structural Journal, 92(3), 1995, pp. 271",60,1200,600,,36.9,516.6666667,550,0.0283,0.0031,C,0,104000,10,0
SW5,"Pilakoutas, K., and Elnashai, A., ""Cyclic behavior of reinforced concrete cantilever walls, Part I: Experimental results."" ACI Structural Journal, 92(3), 1995, pp. 271",60,1200,600,,31.8,547.1428571,400,0.0302,0.0047,C,0,117300,10,0
SW6,"Pilakoutas, K., and Elnashai, A., ""Cyclic behavior of reinforced concrete cantilever walls, Part I: Experimental results."" ACI Structural Journal, 92(3), 1995, pp. 271",60,1200,600,,38.6,516.6666667,400,0.0283,0.0031,C,0,107800,18,0
SW7,"Pilakoutas, K., and Elnashai, A., ""Cyclic behavior of reinforced concrete cantilever walls, Part I: Experimental results."" ACI Structural Journal, 92(3), 1995, pp. 271",60,1200,600,,32,547.1428571,550,0.0302,0.0047,C,0,127300,18,0
SW8,"Pilakoutas, K., and Elnashai, A., ""Cyclic behavior of reinforced concrete cantilever walls, Part I: Experimental results."" ACI Structural Journal, 92(3), 1995, pp. 271",60,1200,600,,45.8,542.5,400,0.0293,0.0031,C,0,95300,22,0
SW9,"Pilakoutas, K., and Elnashai, A., ""Cyclic behavior of reinforced concrete cantilever walls, Part I: Experimental results."" ACI Structural Journal, 92(3), 1995, pp. 271",60,1200,600,,38.9,542.5,400,0.0293,0.0031,C,0,97400,22,0
Riva,"Riva, P., Meda, A. and Giuriani, E., ""Cyclic behaviour of a full scale RC structural wall,"" Civil Engineering Department, University of Brescia, Brescia, Italy, January 2003, 11 pages.",300,5750,2800,,40.7,560,560,0.0075,0.0017,C,0,365000,360,0
LSW1,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1200,1200,,22.2,594.2105263,610,0.017,0.0057,C,0,262000,6,0
LSW2,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1200,1200,,21.6,598.4615385,610,0.013,0.0028,C,0,191000,4,0
LSW3,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1200,1200,,23.9,598.4615385,610,0.013,0.0028,C,200760,268000,5,0.082352941
LSW4,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1200,1200,,23.2,598.4615385,610,0.013,0.0028,C,0,232000,5,0
LSW5,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1200,1200,,24.9,598.4615385,610,0.013,0.0028,C,0,247000,5,0
MSW1,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1800,1200,,26.1,594.2105263,610,0.017,0.0057,C,0,197000,12,0
MSW2,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1800,1200,,26.2,598.4615385,610,0.013,0.0028,C,0,124000,17,0
MSW3,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1800,1200,,24.1,598.4615385,610,0.013,0.0028,C,202440,176000,9,0.082352941
MSW4,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1800,1200,,24.6,598.4615385,610,0.013,0.0028,C,0,158000,11,0
MSW5,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1800,1200,,22,598.4615385,610,0.013,0.0028,C,0,187000,,0
MSW6,"Salonikios, T., Kappos, A., Tegos, I., and Penelis, G. ""Cyclic load behavior of low-slenderness reinforced concrete walls: Design basis and test results.""ACI Structural Journal, 1999. 96(4), pp. 649",100,1800,1200,,27.5,594.2105263,610,0.017,0.0057,C,0,202000,16,0
S1,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,46.5,629,629,0.097,0.0066,C,970000,2187000,,0.081804765
S2,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,46.5,629,629,0.097,0.0066,C,970000,2331000,,0.081804765
S3,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,70.3,629,629,0.097,0.0066,C,1470000,2135000,,0.082001506
S5,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,46.1,629,629,0.097,0.0036,C,970000,1487000,,0.082514568
S6,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,70.3,629,629,0.097,0.0036,C,1470000,1931000,,0.082001506
S7,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,46.5,629,667,0.097,0.0036,C,970000,2060000,,0.081804765
S8,"Park, H., Baek, J., Lee, J. and Shin, H. (2015), ""Cyclic Loading Tests for Shear Strength of Low-Rise Reinforced Concrete Walls with Grade 550 MPa Bars."" ACI Structural Journal, Vol. 112, No.3, May-June 2015, pp. 299-310.",200,1750,1500,,46.5,653,667,0.02,0.0036,C,970000,1149000,,0.081804765
RW1,"Thomsen, J. H., and Wallace, J. W., ""Displacement-Based Design of Reinforced Concrete Structural Walls: An Experimental Invertigation of Walls with Rectangular and T-Shaped Cross-Sections,"" Report No. CU/CEE-95/06, Department of Civil and Environmental Engineering, Clarkson University, Potsdam, N.Y., June 1995.",102,3810,1219,,39.24545455,438.6666667,434,0.0293,0.003,C,400340,148600,72,0.09651989
RW2,"Thomsen, J. H., and Wallace, J. W., ""Displacement-Based Design of Reinforced Concrete Structural Walls: An Experimental Invertigation of Walls with Rectangular and T-Shaped Cross-Sections,"" Report No. CU/CEE-95/06, Department of Civil and Environmental Engineering, Clarkson University, Potsdam, N.Y., June 1995.",102,3810,1219,,36.81818182,438.6666667,434,0.0293,0.003,C,378099,158300,85,0.097167356
R1,"Oesterle, R. G., Fiorato, A. E., Johal, L. S., Carpenter, J. E., Russell, H. G. and Corley, W. G., ""Earthquake Resistant Structural Walls - Tests of Isolated Walls,"" Report to the National Science Foundation, Construction Technology Laboratories, Portland Cement Association, Skokie, Illinois, November 1976, 318 pages.",102,4572,1905,,44.7,517.44,517.44,0.0147,0.0025,C,0,118323,50.8,0
R2,"Oesterle, R. G., Fiorato, A. E., Johal, L. S., Carpenter, J. E., Russell, H. G. and Corley, W. G., ""Earthquake Resistant Structural Walls - Tests of Isolated Walls,"" Report to the National Science Foundation, Construction Technology Laboratories, Portland Cement Association, Skokie, Illinois, November 1976, 318 pages.",102,4572,1905,,46.4,492.3,534.7,0.04,0.0025,C,0,216628,127,0
CI-1,"Shiu, K. N., Daniel, J. I., Aristizabal, J. D., Fiorato, A. E. and Corley, W. G., ""Earthquake Resistant Structural Walls - Tests of Walls With and Without Openings,"" Report to the National Science Foundation, Construction Technology Laboratories, Portland Cement Association, Skokie, Illinois, July 1981, 123 pages.",102,5486,1905,,23.3,474.9666667,488.1,0.0558,0.0025,C,0,339000,142.2,0
M60,"Cheng, M., Hung, S., Lequesne, R.D., Lepage, A. (2016), ""Earthquake-Resistant Squat Walls Reinforced with High Strength Steel."" ACI Structural Journal, Vol. 3, No.5,  September-October 2016, pp. 1065-1076.",203,2032,2032,,39,449.8333333,453,0.0316,0.0031,C,0,1122000,13.6,0
M115,"Cheng, M., Hung, S., Lequesne, R.D., Lepage, A. (2016), ""Earthquake-Resistant Squat Walls Reinforced with High Strength Steel."" ACI Structural Journal, Vol. 3, No.5,  September-October 2016, pp. 1065-1076.",203,2032,2032,,38,775.3333333,453,0.0177,0.0015,C,0,1104000,18.9,0
H60,"Cheng, M., Hung, S., Lequesne, R.D., Lepage, A. (2016), ""Earthquake-Resistant Squat Walls Reinforced with High Strength Steel."" ACI Structural Journal, Vol. 3, No.5,  September-October 2016, pp. 1065-1076.",203,2032,2032,,44,465,453,0.052,0.0082,C,0,1969000,13.4,0
H115,"Cheng, M., Hung, S., Lequesne, R.D., Lepage, A. (2016), ""Earthquake-Resistant Squat Walls Reinforced with High Strength Steel."" ACI Structural Journal, Vol. 3, No.5,  September-October 2016, pp. 1065-1076.",203,2032,2032,,44,786.3636364,453,0.0265,0.0041,C,0,1808000,28.4,0
H60X,"Cheng, M., Hung, S., Lequesne, R.D., Lepage, A. (2016), ""Earthquake-Resistant Squat Walls Reinforced with High Strength Steel."" ACI Structural Journal, Vol. 3, No.5,  September-October 2016, pp. 1065-1076.",203,2032,2032,,42,465,453,0.052,0.0082,C,0,1954000,18.1,0
W1,"Alarcon, C., Hube, M. A., and Llera, J. C. de la (2014), ""Effect of Axial Loads in the Seismic Behavior of Reinforced Concrete Walls with Unconfined Wall Boundaries."" Engineering Structures 73(2014), pp. 13-23.",100,1750,700,,27.4,459.0857143,0,0.0045,0.0072,C,287400,144300,31.5,0.176286573
W2,"Alarcon, C., Hube, M. A., and Llera, J. C. de la (2014), ""Effect of Axial Loads in the Seismic Behavior of Reinforced Concrete Walls with Unconfined Wall Boundaries."" Engineering Structures 73(2014), pp. 13-23.",100,1750,700,,27.4,459.0857143,0,0.0045,0.0072,C,479000,166000,31.5,0.293810955
W3,"Alarcon, C., Hube, M. A., and Llera, J. C. de la (2014), ""Effect of Axial Loads in the Seismic Behavior of Reinforced Concrete Walls with Unconfined Wall Boundaries."" Engineering Structures 73(2014), pp. 13-23.",100,1750,700,,27.4,459.0857143,0,0.0045,0.0072,C,671600,185600,21,0.411948721
RW-A20-P10-S38,"Tran, T. A. (2012). Experimental and Analytical Studies of Moderate Aspect Ratio Reinforced Concrete Structural Walls. PhD Dissertation,University of California, Los Angeles.",152,2438,1219,,47.1,462.5714286,423,0.0323,0.0027,C,641000,481000,56,0.086411372
RW-A20-P10-S63,"Tran, T. A. (2012). Experimental and Analytical Studies of Moderate Aspect Ratio Reinforced Concrete Structural Walls. PhD Dissertation,University of California, Los Angeles.",152,2438,1219,,48.6,463.9230769,423,0.0711,0.0061,C,658000,742000,69,0.085965344
RW-A15-P10-S51,"Tran, T. A. (2012). Experimental and Analytical Studies of Moderate Aspect Ratio Reinforced Concrete Structural Walls. PhD Dissertation,University of California, Los Angeles.",152,1829,1219,,48.8,461.7333333,423,0.0323,0.0032,C,698000,603000,52,0.090817466
RW-A15-P10-S78,"Tran, T. A. (2012). Experimental and Analytical Studies of Moderate Aspect Ratio Reinforced Concrete Structural Walls. PhD Dissertation,University of California, Los Angeles.",152,1829,1219,,55.8,461.5714286,423,0.0606,0.0073,C,663000,859000,27,0.075441986
RW-A15-P2.5-S64,"Tran, T. A. (2012). Experimental and Analytical Studies of Moderate Aspect Ratio Reinforced Concrete Structural Walls. PhD Dissertation,University of California, Los Angeles.",152,1829,1219,,57.5,463,423,0.0606,0.0061,C,169000,670000,27,0.018661762
WSL1,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",100,1750,1600,,28.9,,,,0.002,C,0,349000,,0
WSL2,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",100,1750,1600,,28.9,,,,0.002,C,0,233000,,0
WSL3,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",100,1750,1600,,28.9,,,,0.0026,C,0,471000,,0
WSL4,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",100,1750,1600,,28.9,,,,0.0014,C,0,403000,,0
WSL5,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",100,1750,1600,,28.9,,,,0.002,C,0,357000,,0
WSL6,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",100,1750,1600,,28.9,,,,0.0014,C,0,416000,,0
WSL7,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",85,1750,1600,,28.9,,,,0.0025,C,0,324000,,0
WSL8,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",85,1750,1600,,28.9,,,,0.0017,C,0,292000,,0
WSL9,"Hube, M. A., Santa Maria, H., and Lopez, M. (2017), ""Experimental Campaign of Thin Reinforced Concrete Shear Walls For Low-Rise Constructions."" Proceedings of Sixteenth World Conference on Earthquake, Santiago, Chile.",85,1750,1600,,28.9,,,,0.0025,C,0,336000,,0
RWN,"Johnson, B. (2010). Anchorage Detailing Effects on Lateral Deformation Components of R/C Shear Walls. Retrieved from https://nees.org/resources/234",152,6096,2286,,54.6,463.5454545,,0.0441,0.0039,C,0,838331,114.3,0
RWC,"Johnson, B. (2010). Anchorage Detailing Effects on Lateral Deformation Components of R/C Shear Walls. Retrieved from https://nees.org/resources/234",152,6096,2286,,57.33333333,463.5454545,,0.0441,0.0039,C,0,889644,127,0
RWS,"Johnson, B. (2010). Anchorage Detailing Effects on Lateral Deformation Components of R/C Shear Walls. Retrieved from https://nees.org/resources/234",152,6096,2286,,52.96666667,463.5454545,,0.0441,0.0039,C,0,814674,53.3,0
5,"Vallenas, J.M., Bertero, V.V. and Popov, E.P. (1979). ""Hysteretic Behaviour of Reinforced Concrete Structural Walls."" Earthquake Engineering Research Center, University of California, Berkeley, CA.",114,3047,2412,,32.58,499.5925926,440,0.0566,0.0055,M,458000,916300,75,0.06014691
6,"Vallenas, J.M., Bertero, V.V. and Popov, E.P. (1979). ""Hysteretic Behaviour of Reinforced Concrete Structural Walls."" Earthquake Engineering Research Center, University of California, Berkeley, CA.",114,3047,2412,,33.24,499.5925926,440,0.0566,0.0055,C,458000,870500,50,0.058952657
